,id,isResult,h,a,goals,xG,forecast,year
22,2611,True,"{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'h': '1', 'a': '1'}","{'h': '1.13773', 'a': '0.356966'}","{'w': '0.6102', 'd': '0.2918', 'l': '0.098'}",2016
23,2612,True,"{'id': '199', 'title': 'FC Orenburg', 'short_title': 'ORE'}","{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'h': '0', 'a': '0'}","{'h': '0.471337', 'a': '0.0428303'}","{'w': '0.3706', 'd': '0.6034', 'l': '0.026'}",2016
24,2613,True,"{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'id': '193', 'title': 'Anzhi Makhachkala', 'short_title': 'ANZ'}","{'h': '1', 'a': '2'}","{'h': '1.74836', 'a': '0.968127'}","{'w': '0.591', 'd': '0.2537', 'l': '0.1553'}",2016
25,2614,True,"{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'id': '188', 'title': 'FK Akhmat', 'short_title': 'AKH'}","{'h': '1', 'a': '3'}","{'h': '0.45471', 'a': '0.964337'}","{'w': '0.1593', 'd': '0.3481', 'l': '0.4926'}",2016
26,2615,True,"{'id': '189', 'title': 'Zenit St. Petersburg', 'short_title': 'ZEN'}","{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'h': '1', 'a': '1'}","{'h': '0.775779', 'a': '0.960765'}","{'w': '0.2671', 'd': '0.3358', 'l': '0.3971'}",2016
27,2616,True,"{'id': '187', 'title': 'FC Rostov', 'short_title': 'ROS'}","{'id': '201', 'title': 'Tom Tomsk', 'short_title': 'TOM'}","{'h': '3', 'a': '0'}","{'h': '1.50381', 'a': '0.824801'}","{'w': '0.5606', 'd': '0.2666', 'l': '0.1728'}",2016
28,2617,True,"{'id': '195', 'title': 'Amkar', 'short_title': 'AMK'}","{'id': '198', 'title': 'Ural', 'short_title': 'URA'}","{'h': '1', 'a': '0'}","{'h': '0.962276', 'a': '0.490173'}","{'w': '0.5097', 'd': '0.3426', 'l': '0.1477'}",2016
29,2618,True,"{'id': '183', 'title': 'Spartak Moscow', 'short_title': 'SPA'}","{'id': '196', 'title': 'FC Krasnodar', 'short_title': 'KRA'}","{'h': '2', 'a': '0'}","{'h': '1.52985', 'a': '0.615712'}","{'w': '0.6222', 'd': '0.2626', 'l': '0.1152'}",2016
30,2619,True,"{'id': '192', 'title': 'Lokomotiv Moscow', 'short_title': 'LOK'}","{'id': '194', 'title': 'Krylya Sovetov Samara', 'short_title': 'KSS'}","{'h': '0', 'a': '0'}","{'h': '1.52731', 'a': '1.03253'}","{'w': '0.4943', 'd': '0.3089', 'l': '0.1968'}",2016
31,2620,True,"{'id': '200', 'title': 'Arsenal Tula', 'short_title': 'ARS'}","{'id': '199', 'title': 'FC Orenburg', 'short_title': 'ORE'}","{'h': '0', 'a': '0'}","{'h': '0.315147', 'a': '0.493975'}","{'w': '0.1733', 'd': '0.5135', 'l': '0.3132'}",2016
32,2621,True,"{'id': '194', 'title': 'Krylya Sovetov Samara', 'short_title': 'KSS'}","{'id': '184', 'title': 'FC Ufa', 'short_title': 'UFA'}","{'h': '0', 'a': '1'}","{'h': '0.302113', 'a': '0.901865'}","{'w': '0.0799', 'd': '0.3201', 'l': '0.6'}",2016
33,2622,True,"{'id': '199', 'title': 'FC Orenburg', 'short_title': 'ORE'}","{'id': '186', 'title': 'Rubin Kazan', 'short_title': 'RUB'}","{'h': '1', 'a': '1'}","{'h': '0.332097', 'a': '1.4484'}","{'w': '0.0671', 'd': '0.2401', 'l': '0.6928'}",2016
34,2623,True,"{'id': '201', 'title': 'Tom Tomsk', 'short_title': 'TOM'}","{'id': '185', 'title': 'CSKA Moscow', 'short_title': 'CSK'}","{'h': '0', 'a': '1'}","{'h': '0.410996', 'a': '0.641557'}","{'w': '0.2116', 'd': '0.4369', 'l': '0.3515'}",2016
