year,month,h,a,hxg,axg,matches
2022,12,1.3,0.8,1.6322119116783143,1.0286113917827606,10
2023,1,1.0263,0.8158,1.5101000819551318,0.9196150095054978,38
2023,2,1.6905,1.0476,1.7686006213937486,1.1784173321156275,42
2023,3,1.3226,0.9355,1.6226616530649123,1.0719276474368187,31
2023,4,1.6316,1.1754,1.620201854852208,1.2111746768810248,57
2023,5,1.6154,0.9808,1.941325116616029,1.112287094959846,52
2023,6,1.7,1.1,1.4272866308689118,1.2464066863059997,10
2023,8,1.1333,1.5333,1.4729970922072728,1.4371258834997813,30
2023,9,1.7955,1.1591,1.816570796072483,1.191282064145939,44
2023,10,1.6571,1.2571,1.736078699997493,1.1964755890624863,35
2023,11,1.5333,1.1333,1.7013929516077042,1.4067532668511074,30
2023,12,1.2439,0.9024,1.7625647841430292,1.118186788769757,41
2024,1,1.359,1.2564,1.6843812404534755,1.2245420057039995,39
2024,2,1.5,1.075,1.5091860082000494,1.0760200129821897,40
2024,3,1.4103,0.9487,1.5534738833323503,1.0302280493271656,39
2024,4,1.5938,1.125,1.5576913245022297,1.160761897917837,32
2024,5,1.54,1.28,1.8449975538253784,1.2407034566998483,50
2024,8,1.4706,0.9118,1.4922868070356987,1.229459292803179,34
2024,9,1.5652,1.1087,1.7017013482425525,1.138193954227735,46
2024,10,1.2667,1.2,1.6709123651186626,1.288586009045442,30
2024,11,1.7143,1.0,2.13956857579095,0.688075817589249,7
